"source.type","source.id","source.description","variable","chemical","units","gender","min.age","max.age","form","mean","cv","values"
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000067-64-1","[-]","B",0,99,"empirical",,1,"0.2, 0.3, 0.3"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000067-64-1","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000074-98-6","[-]","B",0,99,"empirical",,1,"0.13, 0.13"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000074-98-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000075-28-5","[-]","B",0,99,"empirical",,1,"0.13"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000075-28-5","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000075-37-6","[-]","B",0,99,"empirical",,1,"0.04"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000075-37-6","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000075-83-2","[-]","B",0,99,"empirical",,1,"0.05"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000075-83-2","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000079-20-9","[-]","B",0,99,"empirical",,1,"0.3"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000079-20-9","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000079-29-8","[-]","B",0,99,"empirical",,1,"0.07"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000079-29-8","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000084-74-2","[-]","B",0,99,"empirical",,1,"0.05"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000084-74-2","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000106-97-8","[-]","B",0,99,"empirical",,1,"0.12, 0.2"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000106-97-8","[-]","B",0,99,"point",1,0,""
"Product","P.AC.010.029","arts and crafts adhesive spray","f.chemical","0000107-83-5","[-]","B",0,99,"empirical",,1,"0.2"
"Product","P.AC.010.029","arts and crafts adhesive spray","chem.prev","0000107-83-5","[-]","B",0,99,"point",1,0,""
